"","Fractures","Sprains, strains, tears","Amputations","Bruise, contusions","Chemical burns and corrosions","Heat (thermal) burns","Soreness, pain","Cuts, lacerations","Punctures (except gunshot wounds)","Cuts, lacerations, punctures","Carpal tunnel syndrome","Tendonitis","With sprains","With fractures","Multiple traumatic injuries","all other","value"
"232",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
"233",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46
"234",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58
"235",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51
"236",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43
"237",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"238",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"239",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49
"240",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"241",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"242",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"243",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"244",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
"245",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47
"246",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"247",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"248",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"249",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
"250",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"251",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"252",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"253",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"254",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"255",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63
"256",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45
"257",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"258",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"259",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"260",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59
"261",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"262",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"263",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89
"264",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"265",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26
"266",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"267",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"268",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28
"269",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151
"270",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"271",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"272",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"273",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70
"274",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"275",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60
"276",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
"277",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"278",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
"279",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
"280",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
